更新时间,#genre#
IPTV热播剧场,http://36.57.175.235:2000/udp/238.1.78.9:7976
IPTV热播剧场,http://36.57.175.204:2000/udp/238.1.78.9:7976
IPTV相声小品,http://36.57.175.235:2000/udp/238.1.78.3:7928
IPTV经典电影,http://36.57.175.235:2000/udp/238.1.78.10:7984
IPTV谍战剧场,http://36.57.175.235:2000/udp/238.1.78.2:7920
IPTV谍战剧场,http://36.57.175.204:2000/udp/238.1.78.2:7920
IPTV野外,http://36.57.175.235:2000/udp/238.1.78.4:7936
上海东方财经,http://36.57.175.199:2000/udp/238.1.78.73:6456
上海东方财经,http://36.57.175.235:2000/udp/238.1.78.73:6456
上海动漫秀场,http://36.57.175.199:2000/udp/238.1.78.154:7104
上海动漫秀场,http://36.57.175.235:2000/udp/238.1.78.154:7104
上海生活时尚,http://36.57.175.199:2000/udp/238.1.78.155:7112
上海生活时尚,http://36.57.175.235:2000/udp/238.1.78.155:7112
世界地理,http://36.57.175.235:2000/udp/238.1.79.60:4616
军旅剧场,http://36.57.175.235:2000/udp/238.1.78.11:7992
军旅剧场,http://60.168.109.124:4000/udp/238.1.78.11:7992
动作影院,http://36.57.175.235:2000/udp/238.1.78.13:4008
动作影院,http://36.57.175.199:2000/udp/238.1.78.13:4008
卡酷卡通,http://36.57.175.199:2000/udp/238.1.78.97:6648
卡酷卡通,http://36.57.175.235:2000/udp/238.1.78.97:6648
古装剧场,http://36.57.175.235:2000/udp/238.1.78.12:4000
古装剧场,http://60.168.109.124:4000/udp/238.1.78.12:4000
央视台球,http://36.57.175.235:2000/udp/238.1.79.59:4608
央视台球,http://36.57.175.199:2000/udp/238.1.79.59:4608
女性时尚,http://36.57.175.235:2000/udp/238.1.79.55:4576
好学生,http://36.57.175.235:2000/udp/238.1.78.18:4048
家庭影院,http://36.57.175.235:2000/udp/238.1.78.14:4016
家庭影院,http://36.57.175.199:2000/udp/238.1.78.14:4016
屯溪融媒频道,http://36.57.175.199:2000/udp/238.1.79.45:4472
